2,1
3,2
4,3
5,4
5,5
6,6
7,7
7,8
8,9
8,10
9,11
10,12
11,13
12,14
12,15
13,9
13,10
14,16
14,17
15,14
15,15
16,18
16,19
17,7
17,20
18,21
18,22
19,23
19,24
20,12
21,25
